index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,881869935554364,618,0,0,0,28
1,881869935556342,599,0,0,0,28
2,881869935558332,603,0,0,0,28
3,881869935560310,599,0,0,0,28
4,881869935562280,596,0,0,0,28
5,881869935564500,672,0,0,0,28
6,881869935566578,629,0,0,0,28
7,881869935568632,622,0,0,0,28
8,881869935570666,616,0,0,0,28
9,881869935572628,594,0,0,0,28
10,881869935574604,598,0,0,0,28
11,881869935576572,596,0,0,0,28
12,881869935578542,596,0,0,0,28
13,881869935580736,664,0,0,0,28
14,881869935582778,618,0,0,0,28
15,881869935584834,623,0,0,0,28
16,881869935586884,621,0,0,0,28
17,881869935588880,604,0,0,0,28
18,881869935590834,592,0,0,0,28
19,881869935592796,594,0,0,0,28
20,881869935594762,595,0,0,0,28
21,881869935596978,671,0,0,0,28
22,881869935599016,617,0,0,0,28
23,881869935601070,622,0,0,0,28
24,881869935603140,627,0,0,0,28
25,881869935605134,604,0,0,0,28
26,881869935607096,594,0,0,0,28
27,881869935609064,596,0,0,0,28
28,881869935611032,596,0,0,0,28
29,881869935613306,689,0,0,0,28
30,881869935615390,631,0,0,0,28
31,881869935617426,616,0,0,0,28
32,881869935619672,680,0,0,0,28
33,881869935621634,594,0,0,0,28
34,881869935623620,601,0,0,0,28
35,881869935625604,601,0,0,0,28
36,881869935627562,593,0,0,0,28
37,881869935629822,684,0,0,0,28
38,881869935631918,635,0,0,0,28
39,881869935633998,630,0,0,0,28
40,881869935636042,619,0,0,0,28
41,881869935638036,604,0,0,0,28
42,881869935640036,606,0,0,0,28
43,881869935642044,608,0,0,0,28
44,881869935644016,597,0,0,0,28
45,881869935646256,678,0,0,0,28
46,881869935648304,620,0,0,0,28
47,881869935650352,620,0,0,0,28
48,881869935652446,634,0,0,0,28
49,881869935654428,600,0,0,0,28
50,881869935656394,595,0,0,0,28
51,881869935658364,596,0,0,0,28
52,881869935660372,608,0,0,0,28
53,881869935662610,678,0,0,0,28
54,881869935664726,641,0,0,0,28
55,881869935666774,620,0,0,0,28
56,881869935668822,620,0,0,0,28
57,881869935670788,595,0,0,0,28
58,881869935672780,603,0,0,0,28
59,881869935674772,603,0,0,0,28
60,881869935676774,606,0,0,0,28
61,881869935679012,678,0,0,0,28
62,881869935681070,623,0,0,0,28
63,881869935683148,629,0,0,0,28
64,881869935685198,621,0,0,0,28
65,881869935687192,604,0,0,0,28
66,881869935689206,610,0,0,0,28
67,881869935691222,610,0,0,0,28
68,881869935693212,603,0,0,0,28
69,881869935695434,673,0,0,0,28
70,881869935697568,646,0,0,0,28
71,881869935699614,620,0,0,0,28
72,881869935701650,616,0,0,0,28
73,881869935703630,600,0,0,0,28
74,881869935705620,603,0,0,0,28
75,881869935707604,601,0,0,0,28
76,881869935709584,600,0,0,0,28
77,881869935711840,683,0,0,0,28
78,881869935713894,622,0,0,0,28
79,881869935715936,618,0,0,0,28
80,881869935717982,620,0,0,0,28
81,881869935719942,593,0,0,0,28
82,881869935721960,611,0,0,0,28
83,881869935723924,595,0,0,0,28
84,881869935725920,604,0,0,0,28
85,881869935728152,676,0,0,0,28
86,881869935730194,618,0,0,0,28
87,881869935732238,619,0,0,0,28
88,881869935734282,619,0,0,0,28
89,881869935736270,602,0,0,0,28
90,881869935738246,598,0,0,0,28
91,881869935740252,607,0,0,0,28
92,881869935742216,595,0,0,0,28
93,881869935744428,670,0,0,0,28
94,881869935746464,616,0,0,0,28
95,881869935748510,620,0,0,0,28
96,881869935750636,644,0,0,0,28
97,881869935752618,600,0,0,0,28
98,881869935754632,610,0,0,0,28
99,881869935756642,609,0,0,0,28
100,881869935758666,613,0,0,0,28
101,881869935760900,676,0,0,0,28
102,881869935762944,619,0,0,0,28
103,881869935765020,629,0,0,0,28
104,881869935767078,623,0,0,0,28
105,881869935769070,603,0,0,0,28
106,881869935771064,604,0,0,0,28
107,881869935773104,618,0,0,0,28
108,881869935775080,598,0,0,0,28
109,881869935777294,670,0,0,0,28
110,881869935779380,632,0,0,0,28
111,881869935781464,631,0,0,0,28
112,881869935783506,618,0,0,0,28
113,881869935785490,601,0,0,0,28
114,881869935787486,604,0,0,0,28
115,881869935789488,606,0,0,0,28
116,881869935791468,600,0,0,0,28
117,881869935793720,682,0,0,0,28
118,881869935795776,623,0,0,0,28
119,881869935797838,624,0,0,0,28
120,881869935799928,633,0,0,0,28
121,881869935801906,599,0,0,0,28
122,881869935803886,600,0,0,0,28
123,881869935805862,598,0,0,0,28
124,881869935807844,600,0,0,0,28
125,881869935810082,678,0,0,0,28
126,881869935812172,633,0,0,0,28
