index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,881156554466450,607,0,0,0,28
1,881156554468542,633,0,0,0,28
2,881156554470518,598,0,0,0,28
3,881156554472726,669,0,0,0,28
4,881156554474744,611,0,0,0,28
5,881156554476758,610,0,0,0,28
6,881156554478778,612,0,0,0,28
7,881156554480794,610,0,0,0,28
8,881156554482778,601,0,0,0,28
9,881156554484778,606,0,0,0,28
10,881156554486784,607,0,0,0,28
11,881156554488954,657,0,0,0,28
12,881156554490980,613,0,0,0,28
13,881156554493000,612,0,0,0,28
14,881156554495034,616,0,0,0,28
15,881156554497028,604,0,0,0,28
16,881156554499002,598,0,0,0,28
17,881156554501014,609,0,0,0,28
18,881156554503016,606,0,0,0,28
19,881156554505224,669,0,0,0,28
20,881156554507228,607,0,0,0,28
21,881156554509260,615,0,0,0,28
22,881156554511276,610,0,0,0,28
23,881156554513298,612,0,0,0,28
24,881156554515278,600,0,0,0,28
25,881156554517270,603,0,0,0,28
26,881156554519304,616,0,0,0,28
27,881156554521492,663,0,0,0,28
28,881156554523524,615,0,0,0,28
29,881156554525594,627,0,0,0,28
30,881156554527612,611,0,0,0,28
31,881156554529638,613,0,0,0,28
32,881156554531630,603,0,0,0,28
33,881156554533648,611,0,0,0,28
34,881156554535606,593,0,0,0,28
35,881156554537764,653,0,0,0,28
36,881156554539788,613,0,0,0,28
37,881156554541814,613,0,0,0,28
38,881156554543828,610,0,0,0,28
39,881156554545844,610,0,0,0,28
40,881156554547838,604,0,0,0,28
41,881156554549824,601,0,0,0,28
42,881156554551828,607,0,0,0,28
43,881156554553970,649,0,0,0,28
44,881156554556018,620,0,0,0,28
45,881156554558048,615,0,0,0,28
46,881156554560084,616,0,0,0,28
47,881156554562106,612,0,0,0,28
48,881156554564124,611,0,0,0,28
49,881156554566100,598,0,0,0,28
50,881156554568116,610,0,0,0,28
51,881156554570314,666,0,0,0,28
52,881156554572340,613,0,0,0,28
53,881156554574354,610,0,0,0,28
54,881156554576372,611,0,0,0,28
55,881156554578394,612,0,0,0,28
56,881156554580382,602,0,0,0,28
57,881156554582380,605,0,0,0,28
58,881156554584484,637,0,0,0,28
59,881156554586672,663,0,0,0,28
60,881156554588684,609,0,0,0,28
61,881156554590688,607,0,0,0,28
62,881156554592704,610,0,0,0,28
63,881156554594710,607,0,0,0,28
64,881156554596698,602,0,0,0,28
65,881156554598668,596,0,0,0,28
66,881156554600672,607,0,0,0,28
67,881156554602864,664,0,0,0,28
68,881156554604880,610,0,0,0,28
69,881156554606896,610,0,0,0,28
70,881156554608974,629,0,0,0,28
71,881156554610988,610,0,0,0,28
72,881156554612968,600,0,0,0,28
