index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,882584104400108,615,0,0,0,28
1,882584104402328,672,0,0,0,28
2,882584104404300,597,0,0,0,28
3,882584104406276,598,0,0,0,28
4,882584104408448,658,0,0,0,28
5,882584104410480,615,0,0,0,28
6,882584104412508,614,0,0,0,28
7,882584104414576,626,0,0,0,28
8,882584104416656,630,0,0,0,28
9,882584104418684,614,0,0,0,28
10,882584104420684,606,0,0,0,28
11,882584104422686,606,0,0,0,28
12,882584104424832,650,0,0,0,28
13,882584104426898,626,0,0,0,28
14,882584104429018,642,0,0,0,28
15,882584104431066,620,0,0,0,28
16,882584104433108,618,0,0,0,28
17,882584104435092,601,0,0,0,28
18,882584104437060,596,0,0,0,28
19,882584104439030,596,0,0,0,28
20,882584104441168,647,0,0,0,28
21,882584104443240,627,0,0,0,28
22,882584104445264,613,0,0,0,28
23,882584104447382,641,0,0,0,28
24,882584104449412,615,0,0,0,28
25,882584104451388,598,0,0,0,28
26,882584104453372,601,0,0,0,28
27,882584104455340,596,0,0,0,28
28,882584104457484,649,0,0,0,28
29,882584104459520,616,0,0,0,28
30,882584104461546,613,0,0,0,28
31,882584104463564,611,0,0,0,28
32,882584104465618,622,0,0,0,28
33,882584104467600,600,0,0,0,28
34,882584104469566,595,0,0,0,28
35,882584104471530,595,0,0,0,28
36,882584104473706,659,0,0,0,28
37,882584104475744,617,0,0,0,28
38,882584104477790,620,0,0,0,28
39,882584104479884,634,0,0,0,28
40,882584104481908,613,0,0,0,28
41,882584104483924,610,0,0,0,28
42,882584104485876,591,0,0,0,28
43,882584104487848,597,0,0,0,28
44,882584104489972,643,0,0,0,28
45,882584104492010,617,0,0,0,28
46,882584104494040,615,0,0,0,28
47,882584104496074,616,0,0,0,28
48,882584104498102,614,0,0,0,28
49,882584104500130,614,0,0,0,28
50,882584104502108,599,0,0,0,28
51,882584104504088,600,0,0,0,28
52,882584104506246,653,0,0,0,28
53,882584104508296,621,0,0,0,28
54,882584104510338,618,0,0,0,28
55,882584104512376,617,0,0,0,28
56,882584104514440,625,0,0,0,28
57,882584104516402,594,0,0,0,28
58,882584104518380,599,0,0,0,28
59,882584104520342,594,0,0,0,28
60,882584104522516,658,0,0,0,28
61,882584104524580,625,0,0,0,28
62,882584104526628,620,0,0,0,28
63,882584104528662,616,0,0,0,28
64,882584104530712,621,0,0,0,28
65,882584104532686,598,0,0,0,28
66,882584104534666,600,0,0,0,28
67,882584104536630,595,0,0,0,28
68,882584104538784,652,0,0,0,28
69,882584104540814,615,0,0,0,28
70,882584104542848,616,0,0,0,28
71,882584104544878,615,0,0,0,28
72,882584104546948,627,0,0,0,28
73,882584104548916,596,0,0,0,28
74,882584104550916,606,0,0,0,28
75,882584104553204,693,0,0,0,28
76,882584104555408,667,0,0,0,28
77,882584104557448,618,0,0,0,28
78,882584104559490,618,0,0,0,28
79,882584104561520,615,0,0,0,28
80,882584104563588,626,0,0,0,28
81,882584104565552,595,0,0,0,28
82,882584104567532,600,0,0,0,28
83,882584104569534,606,0,0,0,28
84,882584104571686,652,0,0,0,28
85,882584104573716,615,0,0,0,28
86,882584104575764,620,0,0,0,28
87,882584104577794,615,0,0,0,28
88,882584104579864,627,0,0,0,28
89,882584104581838,598,0,0,0,28
90,882584104583802,595,0,0,0,28
91,882584104585782,600,0,0,0,28
92,882584104587950,656,0,0,0,28
93,882584104589990,618,0,0,0,28
94,882584104592038,620,0,0,0,28
95,882584104594118,630,0,0,0,28
96,882584104596150,615,0,0,0,28
97,882584104598148,605,0,0,0,28
98,882584104600176,614,0,0,0,28
99,882584104602176,606,0,0,0,28
100,882584104604330,652,0,0,0,28
101,882584104606386,623,0,0,0,28
102,882584104608434,620,0,0,0,28
103,882584104610476,618,0,0,0,28
104,882584104612676,666,0,0,0,28
105,882584104614640,595,0,0,0,28
106,882584104616622,600,0,0,0,28
107,882584104618608,601,0,0,0,28
108,882584104620754,650,0,0,0,28
109,882584104622818,625,0,0,0,28
110,882584104624900,630,0,0,0,28
111,882584104626914,610,0,0,0,28
112,882584104628978,625,0,0,0,28
113,882584104630938,593,0,0,0,28
114,882584104632920,600,0,0,0,28
115,882584104634900,600,0,0,0,28
116,882584104637074,658,0,0,0,28
117,882584104639108,616,0,0,0,28
118,882584104641138,615,0,0,0,28
119,882584104643178,618,0,0,0,28
120,882584104645218,618,0,0,0,28
121,882584104647192,598,0,0,0,28
122,882584104649194,606,0,0,0,28
123,882584104651166,597,0,0,0,28
124,882584104653296,645,0,0,0,28
125,882584104655346,621,0,0,0,28
126,882584104657404,623,0,0,0,28
127,882584104659438,616,0,0,0,28
128,882584104661468,615,0,0,0,28
129,882584104663426,593,0,0,0,28
130,882584104665412,601,0,0,0,28
131,882584104667376,595,0,0,0,28
132,882584104669514,647,0,0,0,28
133,882584104671642,644,0,0,0,28
134,882584104673676,616,0,0,0,28
135,882584104675718,618,0,0,0,28
136,882584104677740,612,0,0,0,28
137,882584104679700,593,0,0,0,28
138,882584104681678,599,0,0,0,28
139,882584104683636,593,0,0,0,28
140,882584104685782,650,0,0,0,28
141,882584104687816,616,0,0,0,28
142,882584104689846,615,0,0,0,28
143,882584104691882,616,0,0,0,28
144,882584104693926,619,0,0,0,28
145,882584104695890,595,0,0,0,28
146,882584104697844,592,0,0,0,28
147,882584104699826,600,0,0,0,28
148,882584104701994,656,0,0,0,28
149,882584104704020,613,0,0,0,28
150,882584104706052,615,0,0,0,28
151,882584104708074,612,0,0,0,28
152,882584104710112,617,0,0,0,28
153,882584104712066,592,0,0,0,28
154,882584104714066,606,0,0,0,28
155,882584104716014,590,0,0,0,28
156,882584104718156,649,0,0,0,28
157,882584104720186,615,0,0,0,28
158,882584104722214,614,0,0,0,28
159,882584104724232,611,0,0,0,28
160,882584104726776,770,0,0,0,28
161,882584104728984,669,0,0,0,28
162,882584104730942,593,0,0,0,28
