index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,874039009568452,616,0,0,0,28
1,874039009570570,641,0,0,0,28
2,874039009572560,603,0,0,0,28
3,874039009574586,613,0,0,0,28
4,874039009576598,609,0,0,0,28
5,874039009578782,661,0,0,0,28
6,874039009580806,613,0,0,0,28
7,874039009582820,610,0,0,0,28
8,874039009584828,608,0,0,0,28
9,874039009586834,607,0,0,0,28
10,874039009588846,609,0,0,0,28
11,874039009590858,609,0,0,0,28
12,874039009592842,601,0,0,0,28
13,874039009594992,651,0,0,0,28
14,874039009596998,607,0,0,0,28
15,874039009599010,609,0,0,0,28
16,874039009601022,609,0,0,0,28
17,874039009603030,608,0,0,0,28
18,874039009604992,594,0,0,0,28
19,874039009606976,601,0,0,0,28
20,874039009608978,606,0,0,0,28
21,874039009611154,659,0,0,0,28
22,874039009613200,620,0,0,0,28
23,874039009615212,609,0,0,0,28
24,874039009617226,610,0,0,0,28
25,874039009619238,609,0,0,0,28
26,874039009621214,598,0,0,0,28
27,874039009623228,610,0,0,0,28
28,874039009625270,618,0,0,0,28
29,874039009627426,653,0,0,0,28
30,874039009629436,609,0,0,0,28
31,874039009631464,614,0,0,0,28
32,874039009633478,610,0,0,0,28
33,874039009635506,614,0,0,0,28
34,874039009637480,598,0,0,0,28
35,874039009639500,612,0,0,0,28
36,874039009641512,609,0,0,0,28
37,874039009643704,664,0,0,0,28
38,874039009645768,625,0,0,0,28
39,874039009647798,615,0,0,0,28
40,874039009649800,606,0,0,0,28
41,874039009651856,623,0,0,0,28
42,874039009653854,605,0,0,0,28
43,874039009655836,600,0,0,0,28
44,874039009657810,598,0,0,0,28
45,874039009659986,659,0,0,0,28
46,874039009661992,607,0,0,0,28
47,874039009664000,608,0,0,0,28
48,874039009666004,607,0,0,0,28
49,874039009668008,607,0,0,0,28
50,874039009670026,611,0,0,0,28
51,874039009672052,613,0,0,0,28
52,874039009674066,610,0,0,0,28
53,874039009676260,664,0,0,0,28
54,874039009678286,613,0,0,0,28
55,874039009680302,610,0,0,0,28
56,874039009682310,608,0,0,0,28
57,874039009684338,614,0,0,0,28
58,874039009686306,596,0,0,0,28
59,874039009688308,606,0,0,0,28
60,874039009690308,606,0,0,0,28
61,874039009692450,649,0,0,0,28
62,874039009694460,609,0,0,0,28
63,874039009696476,610,0,0,0,28
64,874039009698488,609,0,0,0,28
65,874039009700498,609,0,0,0,28
66,874039009702490,603,0,0,0,28
67,874039009704458,596,0,0,0,28
