Linux 6.0.3+ (genie03) 	12/21/2023 	_x86_64_	(64 CPU)

04:09:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:09:05 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
04:09:06 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
04:09:07 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
04:09:08 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
04:09:09 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
04:09:10 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
04:09:11 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
04:09:12 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
04:09:13 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
04:09:14 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
04:09:15 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
04:09:16 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
04:09:17 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
04:09:18 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
04:09:19 PM       4      0.99      0.00     99.01      0.00      0.00      0.00
04:09:20 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
04:09:21 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
04:09:22 PM       4      0.99      0.00     99.01      0.00      0.00      0.00
04:09:23 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
04:09:24 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
04:09:25 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
04:09:26 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
04:09:27 PM       4      1.01      0.00     98.99      0.00      0.00      0.00
04:09:28 PM       4      0.99      0.00     99.01      0.00      0.00      0.00
04:09:29 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
