index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,894944929508060,652,0,0,0,28
1,894944929510146,632,0,0,0,28
2,894944929512242,635,0,0,0,28
3,894944929514340,635,0,0,0,28
4,894944929516420,630,0,0,0,28
5,894944929518436,610,0,0,0,28
6,894944929520458,612,0,0,0,28
7,894944929522472,610,0,0,0,28
8,894944929524650,660,0,0,0,28
9,894944929526738,632,0,0,0,28
10,894944929528812,628,0,0,0,28
11,894944929530886,628,0,0,0,28
12,894944929532970,631,0,0,0,28
13,894944929534946,598,0,0,0,28
14,894944929536910,595,0,0,0,28
15,894944929538904,604,0,0,0,28
16,894944929541074,657,0,0,0,28
17,894944929543146,627,0,0,0,28
18,894944929545210,625,0,0,0,28
19,894944929547364,652,0,0,0,28
20,894944929549450,632,0,0,0,28
21,894944929551426,598,0,0,0,28
22,894944929553390,595,0,0,0,28
23,894944929555356,595,0,0,0,28
24,894944929557530,658,0,0,0,28
25,894944929559592,624,0,0,0,28
26,894944929561704,640,0,0,0,28
27,894944929563788,631,0,0,0,28
28,894944929565920,646,0,0,0,28
29,894944929567928,608,0,0,0,28
30,894944929569932,607,0,0,0,28
31,894944929571922,603,0,0,0,28
32,894944929574076,652,0,0,0,28
33,894944929576152,629,0,0,0,28
34,894944929578238,632,0,0,0,28
35,894944929580352,640,0,0,0,28
36,894944929582430,629,0,0,0,28
37,894944929584412,600,0,0,0,28
38,894944929586378,595,0,0,0,28
39,894944929588390,609,0,0,0,28
40,894944929590576,662,0,0,0,28
41,894944929592646,627,0,0,0,28
42,894944929594778,646,0,0,0,28
43,894944929596840,624,0,0,0,28
44,894944929598948,638,0,0,0,28
45,894944929600966,611,0,0,0,28
46,894944929602976,609,0,0,0,28
47,894944929604992,610,0,0,0,28
48,894944929607192,666,0,0,0,28
49,894944929609280,632,0,0,0,28
50,894944929611368,632,0,0,0,28
51,894944929613436,626,0,0,0,28
52,894944929615580,649,0,0,0,28
53,894944929617570,603,0,0,0,28
54,894944929619568,605,0,0,0,28
55,894944929621576,608,0,0,0,28
56,894944929623726,651,0,0,0,28
57,894944929625808,630,0,0,0,28
58,894944929627874,626,0,0,0,28
59,894944929629970,635,0,0,0,28
60,894944929632020,621,0,0,0,28
61,894944929633994,598,0,0,0,28
62,894944929635976,600,0,0,0,28
63,894944929637958,600,0,0,0,28
64,894944929640098,648,0,0,0,28
65,894944929642158,624,0,0,0,28
66,894944929644232,628,0,0,0,28
67,894944929646306,628,0,0,0,28
68,894944929648380,628,0,0,0,28
69,894944929650342,594,0,0,0,28
70,894944929652326,601,0,0,0,28
71,894944929654322,604,0,0,0,28
72,894944929656482,654,0,0,0,28
73,894944929658566,631,0,0,0,28
74,894944929660632,626,0,0,0,28
75,894944929663228,786,0,0,0,28
76,894944929665286,623,0,0,0,28
77,894944929667276,603,0,0,0,28
78,894944929669270,604,0,0,0,28
79,894944929671266,604,0,0,0,28
80,894944929673436,657,0,0,0,28
81,894944929675492,623,0,0,0,28
82,894944929677552,624,0,0,0,28
83,894944929679642,633,0,0,0,28
84,894944929681740,635,0,0,0,28
85,894944929683720,600,0,0,0,28
