index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,886802930184808,615,0,0,0,28
1,886802930187124,701,0,0,0,28
2,886802930189132,608,0,0,0,28
3,886802930191150,611,0,0,0,28
4,886802930194858,1123,0,0,0,28
5,886802930196902,619,0,0,0,28
6,886802930198948,620,0,0,0,28
7,886802930200982,616,0,0,0,28
8,886802930203072,633,0,0,0,28
9,886802930205106,616,0,0,0,28
10,886802930207078,597,0,0,0,28
11,886802930209094,610,0,0,0,28
12,886802930211280,662,0,0,0,28
13,886802930213334,622,0,0,0,28
14,886802930215448,640,0,0,0,28
15,886802930217494,620,0,0,0,28
16,886802930219550,623,0,0,0,28
17,886802930221540,603,0,0,0,28
18,886802930223540,606,0,0,0,28
19,886802930225534,604,0,0,0,28
20,886802930227700,656,0,0,0,28
21,886802930229750,621,0,0,0,28
22,886802930231784,616,0,0,0,28
23,886802930233850,626,0,0,0,28
24,886802930235916,626,0,0,0,28
25,886802930237882,595,0,0,0,28
26,886802930239858,598,0,0,0,28
27,886802930241826,596,0,0,0,28
28,886802930244000,658,0,0,0,28
29,886802930246052,621,0,0,0,28
30,886802930248100,620,0,0,0,28
31,886802930250192,633,0,0,0,28
32,886802930252256,625,0,0,0,28
33,886802930254236,600,0,0,0,28
34,886802930256218,600,0,0,0,28
35,886802930258256,617,0,0,0,28
36,886802930260430,658,0,0,0,28
37,886802930262468,617,0,0,0,28
38,886802930264552,631,0,0,0,28
39,886802930266642,633,0,0,0,28
40,886802930268686,619,0,0,0,28
41,886802930270654,596,0,0,0,28
42,886802930272654,606,0,0,0,28
43,886802930274620,595,0,0,0,28
44,886802930276766,650,0,0,0,28
45,886802930279316,772,0,0,0,28
46,886802930281392,629,0,0,0,28
47,886802930283450,623,0,0,0,28
48,886802930285510,624,0,0,0,28
49,886802930287476,595,0,0,0,28
50,886802930289454,599,0,0,0,28
51,886802930291470,610,0,0,0,28
52,886802930293638,656,0,0,0,28
53,886802930295694,623,0,0,0,28
54,886802930297732,617,0,0,0,28
55,886802930299758,613,0,0,0,28
56,886802930301798,618,0,0,0,28
57,886802930303766,596,0,0,0,28
58,886802930305752,601,0,0,0,28
59,886802930307732,600,0,0,0,28
60,886802930309894,655,0,0,0,28
61,886802930311938,619,0,0,0,28
62,886802930313962,613,0,0,0,28
63,886802930316004,618,0,0,0,28
64,886802930318044,618,0,0,0,28
65,886802930320004,593,0,0,0,28
66,886802930321992,602,0,0,0,28
67,886802930324002,609,0,0,0,28
68,886802930326188,662,0,0,0,28
69,886802930328226,617,0,0,0,28
70,886802930330250,613,0,0,0,28
71,886802930332316,626,0,0,0,28
72,886802930334380,625,0,0,0,28
73,886802930336346,595,0,0,0,28
74,886802930338324,599,0,0,0,28
75,886802930341668,1013,0,0,0,28
76,886802930343814,650,0,0,0,28
77,886802930345862,620,0,0,0,28
78,886802930347888,613,0,0,0,28
79,886802930350004,641,0,0,0,28
80,886802930352052,620,0,0,0,28
81,886802930354030,599,0,0,0,28
82,886802930356042,609,0,0,0,28
83,886802930358034,603,0,0,0,28
84,886802930360178,649,0,0,0,28
85,886802930362244,626,0,0,0,28
86,886802930364294,621,0,0,0,28
87,886802930366342,620,0,0,0,28
88,886802930368384,618,0,0,0,28
89,886802930370348,595,0,0,0,28
90,886802930372350,606,0,0,0,28
91,886802930374340,603,0,0,0,28
92,886802930376498,653,0,0,0,28
93,886802930378532,616,0,0,0,28
94,886802930380580,620,0,0,0,28
95,886802930382622,618,0,0,0,28
