index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,891397427009254,609,0,0,0,28
1,891397427011274,612,0,0,0,28
2,891397427013256,600,0,0,0,28
3,891397427015786,766,0,0,0,28
4,891397427017994,669,0,0,0,28
5,891397427019998,607,0,0,0,28
6,891397427022012,610,0,0,0,28
7,891397427024006,604,0,0,0,28
8,891397427026272,686,0,0,0,28
9,891397427028256,601,0,0,0,28
10,891397427030228,597,0,0,0,28
11,891397427032390,655,0,0,0,28
12,891397427034414,613,0,0,0,28
13,891397427036430,610,0,0,0,28
14,891397427038440,609,0,0,0,28
15,891397427040466,613,0,0,0,28
16,891397427042476,609,0,0,0,28
17,891397427044462,601,0,0,0,28
18,891397427046432,596,0,0,0,28
19,891397427048584,652,0,0,0,28
20,891397427050584,606,0,0,0,28
21,891397427052572,602,0,0,0,28
22,891397427054562,603,0,0,0,28
23,891397427056570,608,0,0,0,28
24,891397427058582,609,0,0,0,28
25,891397427060596,610,0,0,0,28
26,891397427062598,606,0,0,0,28
27,891397427064768,657,0,0,0,28
28,891397427066796,614,0,0,0,28
29,891397427068804,608,0,0,0,28
30,891397427070822,611,0,0,0,28
31,891397427072836,610,0,0,0,28
32,891397427074848,609,0,0,0,28
33,891397427076836,602,0,0,0,28
34,891397427078804,596,0,0,0,28
35,891397427081010,668,0,0,0,28
36,891397427083048,617,0,0,0,28
37,891397427085060,609,0,0,0,28
38,891397427087088,614,0,0,0,28
39,891397427089106,611,0,0,0,28
40,891397427091110,607,0,0,0,28
41,891397427093106,604,0,0,0,28
42,891397427095078,597,0,0,0,28
43,891397427097246,656,0,0,0,28
44,891397427099234,602,0,0,0,28
45,891397427101230,604,0,0,0,28
46,891397427103224,604,0,0,0,28
47,891397427105232,608,0,0,0,28
48,891397427107288,623,0,0,0,28
49,891397427109268,600,0,0,0,28
50,891397427111244,598,0,0,0,28
51,891397427113440,665,0,0,0,28
52,891397427115444,607,0,0,0,28
53,891397427117450,607,0,0,0,28
54,891397427119466,610,0,0,0,28
55,891397427121486,612,0,0,0,28
56,891397427123470,601,0,0,0,28
57,891397427125440,596,0,0,0,28
58,891397427127418,599,0,0,0,28
59,891397427129574,653,0,0,0,28
60,891397427131580,607,0,0,0,28
61,891397427133574,604,0,0,0,28
62,891397427135576,606,0,0,0,28
63,891397427137590,610,0,0,0,28
64,891397427139592,606,0,0,0,28
65,891397427141590,605,0,0,0,28
66,891397427143558,596,0,0,0,28
67,891397427145704,650,0,0,0,28
68,891397427147720,610,0,0,0,28
69,891397427149704,601,0,0,0,28
70,891397427151746,618,0,0,0,28
71,891397427153728,600,0,0,0,28
72,891397427155698,596,0,0,0,28
73,891397427157702,607,0,0,0,28
74,891397427159708,607,0,0,0,28
75,891397427161854,650,0,0,0,28
76,891397427164188,707,0,0,0,28
77,891397427166206,611,0,0,0,28
78,891397427168204,605,0,0,0,28
79,891397427170198,604,0,0,0,28
80,891397427172166,596,0,0,0,28
81,891397427174188,612,0,0,0,28
82,891397427176158,596,0,0,0,28
83,891397427178350,664,0,0,0,28
84,891397427180364,610,0,0,0,28
85,891397427182374,609,0,0,0,28
86,891397427184384,609,0,0,0,28
87,891397427186398,610,0,0,0,28
88,891397427188416,611,0,0,0,28
89,891397427190426,609,0,0,0,28
90,891397427192440,610,0,0,0,28
91,891397427194606,656,0,0,0,28
92,891397427196636,615,0,0,0,28
93,891397427198642,607,0,0,0,28
94,891397427200658,610,0,0,0,28
95,891397427202666,608,0,0,0,28
96,891397427204700,616,0,0,0,28
97,891397427206710,609,0,0,0,28
98,891397427208706,604,0,0,0,28
99,891397427210894,663,0,0,0,28
100,891397427212900,607,0,0,0,28
101,891397427214970,627,0,0,0,28
102,891397427216980,609,0,0,0,28
103,891397427218966,601,0,0,0,28
104,891397427220966,606,0,0,0,28
105,891397427222964,605,0,0,0,28
106,891397427225000,616,0,0,0,28
107,891397427227178,660,0,0,0,28
108,891397427229184,607,0,0,0,28
109,891397427231188,607,0,0,0,28
110,891397427233196,608,0,0,0,28
111,891397427235194,605,0,0,0,28
112,891397427237218,613,0,0,0,28
113,891397427239182,595,0,0,0,28
114,891397427241232,621,0,0,0,28
115,891397427243366,646,0,0,0,28
116,891397427245346,600,0,0,0,28
117,891397427247366,612,0,0,0,28
118,891397427249354,602,0,0,0,28
119,891397427251360,607,0,0,0,28
120,891397427253344,601,0,0,0,28
121,891397427255366,612,0,0,0,28
122,891397427257356,603,0,0,0,28
123,891397427259558,667,0,0,0,28
124,891397427261592,616,0,0,0,28
125,891397427263578,601,0,0,0,28
126,891397427265588,609,0,0,0,28
127,891397427267636,620,0,0,0,28
128,891397427269616,600,0,0,0,28
129,891397427271608,603,0,0,0,28
130,891397427273610,606,0,0,0,28
131,891397427275758,650,0,0,0,28
132,891397427277744,601,0,0,0,28
133,891397427279750,607,0,0,0,28
134,891397427281756,607,0,0,0,28
135,891397427283800,619,0,0,0,28
136,891397427285818,611,0,0,0,28
137,891397427287780,594,0,0,0,28
138,891397427289756,598,0,0,0,28
139,891397427291924,656,0,0,0,28
140,891397427293938,610,0,0,0,28
141,891397427295946,608,0,0,0,28
142,891397427297962,610,0,0,0,28
143,891397427299970,608,0,0,0,28
144,891397427301982,609,0,0,0,28
145,891397427303974,603,0,0,0,28
146,891397427305956,600,0,0,0,28
