index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,875460834044152,626,0,0,0,28
1,875460834046242,633,0,0,0,28
2,875460834048230,602,0,0,0,28
3,875460834050256,613,0,0,0,28
4,875460834052218,594,0,0,0,28
5,875460834054420,667,0,0,0,28
6,875460834056492,627,0,0,0,28
7,875460834058536,619,0,0,0,28
8,875460834060554,611,0,0,0,28
9,875460834062622,626,0,0,0,28
10,875460834064642,612,0,0,0,28
11,875460834066652,609,0,0,0,28
12,875460834068652,606,0,0,0,28
13,875460834070836,661,0,0,0,28
14,875460834072856,612,0,0,0,28
15,875460834074898,618,0,0,0,28
16,875460834076916,611,0,0,0,28
17,875460834079020,637,0,0,0,28
18,875460834081008,602,0,0,0,28
19,875460834082992,601,0,0,0,28
20,875460834084972,600,0,0,0,28
21,875460834087124,652,0,0,0,28
22,875460834089150,613,0,0,0,28
23,875460834091174,613,0,0,0,28
24,875460834093188,610,0,0,0,28
25,875460834095232,619,0,0,0,28
26,875460834097260,614,0,0,0,28
27,875460834099246,601,0,0,0,28
28,875460834101232,601,0,0,0,28
29,875460834103412,660,0,0,0,28
30,875460834105430,611,0,0,0,28
31,875460834107450,612,0,0,0,28
32,875460834109504,622,0,0,0,28
33,875460834111552,620,0,0,0,28
34,875460834113622,627,0,0,0,28
35,875460834115608,601,0,0,0,28
36,875460834117614,607,0,0,0,28
37,875460834119782,656,0,0,0,28
38,875460834121856,628,0,0,0,28
39,875460834123880,613,0,0,0,28
40,875460834125918,617,0,0,0,28
41,875460834127968,621,0,0,0,28
42,875460834129960,603,0,0,0,28
43,875460834131970,609,0,0,0,28
44,875460834133966,604,0,0,0,28
45,875460834136122,653,0,0,0,28
46,875460834138156,616,0,0,0,28
47,875460834140180,613,0,0,0,28
48,875460834142214,616,0,0,0,28
49,875460834144254,618,0,0,0,28
50,875460834146252,605,0,0,0,28
51,875460834148232,600,0,0,0,28
52,875460834150252,612,0,0,0,28
53,875460834152416,655,0,0,0,28
54,875460834154432,610,0,0,0,28
55,875460834156462,615,0,0,0,28
56,875460834158486,613,0,0,0,28
57,875460834160536,621,0,0,0,28
58,875460834162536,606,0,0,0,28
59,875460834164540,607,0,0,0,28
60,875460834166526,601,0,0,0,28
61,875460834168706,660,0,0,0,28
62,875460834170744,617,0,0,0,28
63,875460834172780,616,0,0,0,28
64,875460834174844,625,0,0,0,28
65,875460834176882,617,0,0,0,28
66,875460834178882,606,0,0,0,28
67,875460834180908,613,0,0,0,28
68,875460834182896,602,0,0,0,28
69,875460834185100,667,0,0,0,28
70,875460834187126,613,0,0,0,28
71,875460834189152,613,0,0,0,28
72,875460834191184,615,0,0,0,28
73,875460834193166,600,0,0,0,28
74,875460834195160,604,0,0,0,28
75,875460834197840,812,0,0,0,28
76,875460834199860,612,0,0,0,28
77,875460834202030,657,0,0,0,28
78,875460834204056,613,0,0,0,28
79,875460834206084,614,0,0,0,28
80,875460834208128,619,0,0,0,28
81,875460834210146,611,0,0,0,28
82,875460834212134,602,0,0,0,28
83,875460834214140,607,0,0,0,28
84,875460834216114,598,0,0,0,28
85,875460834218330,671,0,0,0,28
86,875460834220356,613,0,0,0,28
