index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,877592872115226,616,0,0,0,28
1,877592872117610,722,0,0,0,28
2,877592872119764,652,0,0,0,28
3,877592872122144,721,0,0,0,28
4,877592872124424,690,0,0,0,28
5,877592872126756,706,0,0,0,28
6,877592872128774,611,0,0,0,28
7,877592872131018,680,0,0,0,28
8,877592872133250,676,0,0,0,28
9,877592872135500,681,0,0,0,28
10,877592872137670,657,0,0,0,28
11,877592872139948,690,0,0,0,28
12,877592872142324,720,0,0,0,28
13,877592872144388,625,0,0,0,28
14,877592872146408,612,0,0,0,28
15,877592872148414,607,0,0,0,28
16,877592872150422,608,0,0,0,28
17,877592872152444,612,0,0,0,28
18,877592872154620,659,0,0,0,28
19,877592872156634,610,0,0,0,28
20,877592872158656,612,0,0,0,28
21,877592872160658,606,0,0,0,28
22,877592872162690,615,0,0,0,28
23,877592872164674,601,0,0,0,28
24,877592872166654,600,0,0,0,28
25,877592872168622,596,0,0,0,28
26,877592872170770,650,0,0,0,28
27,877592872172802,615,0,0,0,28
28,877592872174814,609,0,0,0,28
29,877592872176846,615,0,0,0,28
30,877592872178872,613,0,0,0,28
31,877592872180856,601,0,0,0,28
32,877592872182816,593,0,0,0,28
33,877592872184828,609,0,0,0,28
34,877592872187028,666,0,0,0,28
35,877592872189058,615,0,0,0,28
36,877592872191066,608,0,0,0,28
37,877592872193082,610,0,0,0,28
38,877592872195094,609,0,0,0,28
39,877592872197076,600,0,0,0,28
40,877592872199064,602,0,0,0,28
41,877592872201036,597,0,0,0,28
42,877592872203184,650,0,0,0,28
43,877592872205198,610,0,0,0,28
44,877592872207218,612,0,0,0,28
45,877592872209238,612,0,0,0,28
46,877592872211246,608,0,0,0,28
47,877592872213216,596,0,0,0,28
48,877592872215206,603,0,0,0,28
49,877592872217234,614,0,0,0,28
50,877592872219526,694,0,0,0,28
51,877592872221572,620,0,0,0,28
52,877592872223582,609,0,0,0,28
53,877592872225616,616,0,0,0,28
54,877592872227638,612,0,0,0,28
55,877592872229610,597,0,0,0,28
56,877592872231610,606,0,0,0,28
57,877592872233584,598,0,0,0,28
58,877592872235726,649,0,0,0,28
59,877592872237764,617,0,0,0,28
60,877592872239792,614,0,0,0,28
61,877592872241840,620,0,0,0,28
62,877592872243874,616,0,0,0,28
63,877592872245882,608,0,0,0,28
64,877592872247896,610,0,0,0,28
65,877592872249914,611,0,0,0,28
66,877592872252098,661,0,0,0,28
67,877592872254112,610,0,0,0,28
68,877592872256128,610,0,0,0,28
69,877592872258154,613,0,0,0,28
70,877592872260180,613,0,0,0,28
71,877592872262208,614,0,0,0,28
72,877592872264176,596,0,0,0,28
73,877592872266174,605,0,0,0,28
74,877592872268350,659,0,0,0,28
75,877592872270634,692,0,0,0,28
76,877592872273092,744,0,0,0,28
77,877592872275718,795,0,0,0,28
78,877592872277770,621,0,0,0,28
79,877592872280046,689,0,0,0,28
80,877592872282364,702,0,0,0,28
81,877592872284662,696,0,0,0,28
82,877592872286826,655,0,0,0,28
83,877592872289080,683,0,0,0,28
84,877592872291334,683,0,0,0,28
85,877592872293674,709,0,0,0,28
86,877592872295706,615,0,0,0,28
87,877592872298548,861,0,0,0,28
88,877592872300550,606,0,0,0,28
89,877592872302580,615,0,0,0,28
90,877592872304764,661,0,0,0,28
91,877592872306814,621,0,0,0,28
92,877592872308864,621,0,0,0,28
93,877592872310880,610,0,0,0,28
94,877592872312960,630,0,0,0,28
95,877592872314932,597,0,0,0,28
96,877592872316912,600,0,0,0,28
97,877592872318888,598,0,0,0,28
98,877592872321080,664,0,0,0,28
99,877592872323096,610,0,0,0,28
100,877592872325116,612,0,0,0,28
101,877592872327130,610,0,0,0,28
102,877592872329104,598,0,0,0,28
103,877592872331122,611,0,0,0,28
104,877592872333114,603,0,0,0,28
105,877592872335128,610,0,0,0,28
106,877592872337296,656,0,0,0,28
107,877592872339316,612,0,0,0,28
108,877592872341332,610,0,0,0,28
109,877592872343340,608,0,0,0,28
110,877592872345372,615,0,0,0,28
111,877592872347356,601,0,0,0,28
112,877592872349334,599,0,0,0,28
113,877592872351294,593,0,0,0,28
114,877592872353470,659,0,0,0,28
115,877592872355514,619,0,0,0,28
116,877592872357582,626,0,0,0,28
117,877592872359614,615,0,0,0,28
118,877592872361632,611,0,0,0,28
119,877592872363662,615,0,0,0,28
120,877592872365660,605,0,0,0,28
121,877592872367648,602,0,0,0,28
122,877592872369788,648,0,0,0,28
123,877592872371840,621,0,0,0,28
124,877592872373870,615,0,0,0,28
125,877592872375884,610,0,0,0,28
126,877592872377912,614,0,0,0,28
127,877592872379892,600,0,0,0,28
128,877592872381872,600,0,0,0,28
129,877592872383842,596,0,0,0,28
130,877592872385992,651,0,0,0,28
131,877592872388024,615,0,0,0,28
132,877592872390072,620,0,0,0,28
133,877592872392080,608,0,0,0,28
134,877592872394094,610,0,0,0,28
135,877592872396056,594,0,0,0,28
136,877592872398048,603,0,0,0,28
137,877592872400052,607,0,0,0,28
138,877592872402312,684,0,0,0,28
139,877592872404326,610,0,0,0,28
140,877592872406356,615,0,0,0,28
141,877592872408430,628,0,0,0,28
142,877592872410454,613,0,0,0,28
143,877592872412480,613,0,0,0,28
144,877592872414480,606,0,0,0,28
145,877592872416490,609,0,0,0,28
146,877592872418682,664,0,0,0,28
147,877592872420684,606,0,0,0,28
148,877592872422704,612,0,0,0,28
149,877592872424722,611,0,0,0,28
150,877592872426736,610,0,0,0,28
151,877592872428738,606,0,0,0,28
152,877592872430752,610,0,0,0,28
153,877592872432758,607,0,0,0,28
154,877592872434930,658,0,0,0,28
155,877592872436956,613,0,0,0,28
156,877592872438970,610,0,0,0,28
157,877592872440980,609,0,0,0,28
158,877592872443006,613,0,0,0,28
159,877592872445002,604,0,0,0,28
160,877592872447446,740,0,0,0,28
161,877592872450060,792,0,0,0,28
162,877592872452244,661,0,0,0,28
163,877592872454654,730,0,0,0,28
164,877592872456918,686,0,0,0,28
165,877592872459348,736,0,0,0,28
166,877592872461442,634,0,0,0,28
167,877592872464650,972,0,0,0,28
168,877592872466990,709,0,0,0,28
169,877592872469326,707,0,0,0,28
170,877592872471496,657,0,0,0,28
171,877592872473860,716,0,0,0,28
172,877592872476224,716,0,0,0,28
173,877592872478282,623,0,0,0,28
174,877592872480310,614,0,0,0,28
175,877592872482288,599,0,0,0,28
176,877592872484254,595,0,0,0,28
177,877592872486272,611,0,0,0,28
178,877592872488454,661,0,0,0,28
179,877592872490480,613,0,0,0,28
180,877592872492500,612,0,0,0,28
181,877592872494518,611,0,0,0,28
182,877592872496530,609,0,0,0,28
183,877592872498516,601,0,0,0,28
184,877592872500518,606,0,0,0,28
185,877592872502514,604,0,0,0,28
186,877592872504660,650,0,0,0,28
187,877592872506822,655,0,0,0,28
188,877592872508864,618,0,0,0,28
189,877592872510938,628,0,0,0,28
190,877592872512944,607,0,0,0,28
191,877592872514950,607,0,0,0,28
192,877592872516904,592,0,0,0,28
193,877592872518892,602,0,0,0,28
194,877592872521042,651,0,0,0,28
195,877592872523062,612,0,0,0,28
196,877592872525084,612,0,0,0,28
197,877592872527104,612,0,0,0,28
198,877592872529144,618,0,0,0,28
199,877592872531132,602,0,0,0,28
200,877592872533118,601,0,0,0,28
201,877592872535104,601,0,0,0,28
202,877592872537268,655,0,0,0,28
203,877592872539300,615,0,0,0,28
204,877592872541314,610,0,0,0,28
205,877592872543322,608,0,0,0,28
206,877592872545338,610,0,0,0,28
207,877592872547346,608,0,0,0,28
208,877592872549344,605,0,0,0,28
209,877592872551336,603,0,0,0,28
210,877592872553484,650,0,0,0,28
211,877592872555552,626,0,0,0,28
212,877592872557580,614,0,0,0,28
213,877592872559592,609,0,0,0,28
214,877592872561588,604,0,0,0,28
215,877592872563602,610,0,0,0,28
216,877592872565600,605,0,0,0,28
217,877592872567582,600,0,0,0,28
218,877592872569730,650,0,0,0,28
219,877592872571880,651,0,0,0,28
220,877592872573882,606,0,0,0,28
221,877592872575928,620,0,0,0,28
222,877592872577944,610,0,0,0,28
223,877592872579952,608,0,0,0,28
224,877592872581920,596,0,0,0,28
225,877592872583898,599,0,0,0,28
226,877592872586064,656,0,0,0,28
227,877592872588088,613,0,0,0,28
228,877592872590102,610,0,0,0,28
229,877592872592132,615,0,0,0,28
230,877592872594144,609,0,0,0,28
231,877592872596148,607,0,0,0,28
232,877592872598158,609,0,0,0,28
233,877592872600170,609,0,0,0,28
234,877592872602336,656,0,0,0,28
235,877592872604362,613,0,0,0,28
236,877592872606422,624,0,0,0,28
237,877592872608434,609,0,0,0,28
238,877592872610450,610,0,0,0,28
239,877592872612422,597,0,0,0,28
240,877592872614436,610,0,0,0,28
241,877592872616456,612,0,0,0,28
242,877592872618650,664,0,0,0,28
243,877592872620666,610,0,0,0,28
244,877592872622690,613,0,0,0,28
245,877592872625504,852,0,0,0,28
246,877592872627572,626,0,0,0,28
247,877592872629560,602,0,0,0,28
248,877592872631558,605,0,0,0,28
249,877592872633552,604,0,0,0,28
250,877592872635726,658,0,0,0,28
251,877592872637748,612,0,0,0,28
252,877592872639768,612,0,0,0,28
253,877592872641792,613,0,0,0,28
254,877592872643812,612,0,0,0,28
255,877592872645810,605,0,0,0,28
256,877592872647818,608,0,0,0,28
257,877592872649812,604,0,0,0,28
258,877592872651992,660,0,0,0,28
259,877592872654028,616,0,0,0,28
260,877592872656032,607,0,0,0,28
261,877592872658052,612,0,0,0,28
262,877592872660078,613,0,0,0,28
263,877592872662074,604,0,0,0,28
264,877592872664086,609,0,0,0,28
265,877592872666092,607,0,0,0,28
266,877592872668286,664,0,0,0,28
267,877592872670310,613,0,0,0,28
268,877592872672322,609,0,0,0,28
269,877592872674334,609,0,0,0,28
270,877592872676384,621,0,0,0,28
271,877592872678362,599,0,0,0,28
272,877592872680358,604,0,0,0,28
273,877592872682374,610,0,0,0,28
274,877592872684536,655,0,0,0,28
275,877592872686562,613,0,0,0,28
276,877592872688578,610,0,0,0,28
277,877592872690594,610,0,0,0,28
278,877592872692612,611,0,0,0,28
279,877592872694616,607,0,0,0,28
280,877592872696610,604,0,0,0,28
281,877592872698616,607,0,0,0,28
282,877592872700766,651,0,0,0,28
283,877592872702814,620,0,0,0,28
284,877592872704844,615,0,0,0,28
285,877592872706876,615,0,0,0,28
286,877592872708886,609,0,0,0,28
287,877592872710886,606,0,0,0,28
288,877592872712900,610,0,0,0,28
289,877592872714894,604,0,0,0,28
290,877592872717052,653,0,0,0,28
291,877592872719086,616,0,0,0,28
292,877592872721130,619,0,0,0,28
293,877592872723144,610,0,0,0,28
294,877592872725154,609,0,0,0,28
295,877592872727152,605,0,0,0,28
296,877592872729192,618,0,0,0,28
297,877592872731180,602,0,0,0,28
298,877592872733388,669,0,0,0,28
299,877592872735404,610,0,0,0,28
