Linux 6.0.3 (genie03) 	08/31/2023 	_x86_64_	(64 CPU)

02:22:49 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:22:50 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
02:22:51 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
02:22:52 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
02:22:53 PM       4      0.99      0.00     99.01      0.00      0.00      0.00
02:22:54 PM       4      0.99      0.00     99.01      0.00      0.00      0.00
02:22:55 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
02:22:56 PM       4      1.98      0.00     98.02      0.00      0.00      0.00
02:22:57 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
02:22:58 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
02:22:59 PM       4      1.01      0.00     98.99      0.00      0.00      0.00
02:23:00 PM       4      0.99      0.00     99.01      0.00      0.00      0.00
02:23:01 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
02:23:02 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
02:23:03 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
02:23:04 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
