index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,21081123166733074,621,62,41,38,28
1,21081123166735252,660,51,40,38,28
2,21081123166737324,627,42,39,38,28
3,21081123166739394,627,38,38,38,28
4,21081123166741502,638,48,40,38,28
5,21081123166743630,644,60,41,39,28
6,21081123166745638,608,47,40,39,28
7,21081123166747666,614,41,39,39,28
8,21081123166749670,607,47,40,39,28
9,21081123166751864,664,48,40,39,28
10,21081123166753998,646,41,39,39,28
11,21081123166756046,620,39,39,39,28
12,21081123166758128,630,70,43,39,28
13,21081123166760216,632,50,40,39,28
14,21081123166762260,619,45,40,39,28
15,21081123166764256,604,49,40,39,28
16,21081123166766264,608,54,41,39,28
17,21081123166768452,663,42,39,39,28
18,21081123166770546,634,32,38,39,28
19,21081123166772614,626,30,38,39,28
20,21081123166774670,623,48,40,39,28
21,21081123166776762,633,64,42,39,28
22,21081123166778774,609,46,40,39,28
23,21081123166780784,609,44,40,39,28
24,21081123166782798,610,38,39,39,28
25,21081123166784994,665,51,40,39,28
26,21081123166787042,620,61,42,39,28
27,21081123166789144,636,42,39,39,28
28,21081123166791256,640,31,38,39,28
29,21081123166793356,636,30,38,39,28
30,21081123166795404,620,42,39,39,28
31,21081123166797402,605,40,39,39,28
32,21081123166799414,609,23,37,39,28
33,21081123166801584,657,27,37,39,28
34,21081123166803634,621,44,40,39,28
35,21081123166805700,626,34,38,39,28
36,21081123166807786,632,31,38,39,28
37,21081123166809832,620,52,41,39,28
38,21081123166811848,610,48,40,39,28
39,21081123166813856,608,27,37,39,28
40,21081123166815864,608,19,36,39,28
41,21081123166818046,661,0,36,39,28
42,21081123166820182,647,0,36,39,28
43,21081123166822262,630,0,36,39,28
44,21081123166824332,627,0,36,39,28
45,21081123166826408,629,0,36,39,28
46,21081123166828418,609,0,36,39,28
47,21081123166830406,602,0,36,39,28
48,21081123166832388,600,0,36,39,28
49,21081123166834568,660,0,36,39,28
50,21081123166836640,627,0,36,39,28
51,21081123166838686,620,0,36,39,28
52,21081123166840744,623,0,36,39,28
53,21081123166842796,621,0,36,39,28
54,21081123166844778,600,0,36,39,28
55,21081123166846770,603,0,36,39,28
56,21081123166848762,603,0,36,39,28
57,21081123166850906,649,0,36,39,28
58,21081123166852934,614,0,36,39,28
59,21081123166854974,618,0,36,39,28
60,21081123166857020,620,3,36,39,28
61,21081123166859104,631,27,37,39,28
62,21081123166861140,616,25,37,39,28
63,21081123166863230,633,6,37,39,28
64,21081123166865256,613,0,37,39,28
65,21081123166867390,646,6,37,39,28
66,21081123166869440,621,26,37,39,28
67,21081123166871538,635,28,37,39,28
68,21081123166873642,637,28,37,39,28
69,21081123166875736,634,35,38,39,28
70,21081123166877774,617,40,39,39,28
71,21081123166879776,606,35,38,39,28
72,21081123166881782,607,28,37,39,28
73,21081123166883954,658,22,36,39,28
74,21081123166886020,626,43,39,39,28
75,21081123166888328,699,48,40,39,28
76,21081123166890396,626,28,37,39,28
77,21081123166892490,634,38,38,39,28
78,21081123166894522,615,32,38,39,28
79,21081123166896534,609,38,38,39,28
80,21081123166898532,605,24,37,38,28
81,21081123166900816,692,0,37,38,28
82,21081123166902906,633,0,37,38,28
83,21081123166904948,618,19,36,38,28
84,21081123166907032,631,29,37,38,28
85,21081123166909102,627,29,37,38,28
86,21081123166911152,621,32,37,38,28
87,21081123166913150,605,42,39,38,28
88,21081123166915174,613,44,39,38,28
89,21081123166917348,658,33,38,38,28
90,21081123166919414,626,51,40,38,28
91,21081123166921498,631,73,43,38,28
92,21081123166923580,630,84,44,39,28
93,21081123166925644,625,55,41,39,28
94,21081123166927654,609,59,41,39,28
95,21081123166929646,603,54,41,39,28
96,21081123166931664,611,53,41,39,28
