index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,21080108837492160,595,0,53,55,28
1,21080108837494378,672,0,53,55,28
2,21080108837496548,657,0,53,55,28
3,21080108837498792,680,0,53,55,28
4,21080108837500872,630,0,53,55,28
5,21080108837502838,595,0,53,55,28
6,21080108837504814,598,0,53,55,28
7,21080108837506812,605,0,53,55,28
8,21080108837508824,609,0,53,55,28
9,21080108837511036,670,0,53,55,28
10,21080108837513086,621,0,53,55,28
11,21080108837515108,612,0,53,55,28
12,21080108837517156,620,0,53,55,28
13,21080108837519116,593,0,53,55,28
14,21080108837521084,596,1,53,55,28
15,21080108837523078,604,0,53,55,28
16,21080108837525088,609,0,53,55,28
17,21080108837527336,681,0,53,55,28
18,21080108837529382,620,0,53,55,28
19,21080108837531482,636,0,53,55,28
20,21080108837533522,618,0,53,55,28
21,21080108837535504,600,0,53,55,28
22,21080108837537516,609,0,53,55,28
23,21080108837539532,610,0,53,55,28
24,21080108837541544,609,0,53,55,28
25,21080108837543752,669,0,53,55,28
26,21080108837545882,645,0,53,55,28
27,21080108837547932,621,0,53,55,28
28,21080108837549962,615,0,53,55,28
29,21080108837551938,598,0,53,55,28
30,21080108837553950,609,0,53,55,28
31,21080108837555992,618,0,53,55,28
32,21080108837557976,601,0,53,55,28
33,21080108837560190,670,0,53,55,28
34,21080108837562272,630,23,51,55,28
35,21080108837564384,640,43,53,55,28
36,21080108837566540,653,49,54,55,28
37,21080108837568604,625,46,54,55,28
38,21080108837570632,614,48,54,55,28
39,21080108837572646,610,48,54,55,28
40,21080108837574690,619,48,54,55,28
41,21080108837576948,684,44,53,55,28
42,21080108837579100,652,40,53,54,28
43,21080108837581180,630,18,50,54,28
44,21080108837583304,643,38,52,54,28
45,21080108837585318,610,44,53,54,28
46,21080108837587352,616,48,53,54,28
47,21080108837589378,613,49,54,54,28
48,21080108837591386,608,52,54,54,28
49,21080108837593644,684,58,55,54,28
50,21080108837595730,632,60,55,54,28
51,21080108837597822,633,55,54,54,28
52,21080108837599920,635,65,56,54,28
53,21080108837601932,609,59,55,54,28
54,21080108837603950,611,61,55,54,28
55,21080108837605960,609,60,55,54,28
56,21080108837608504,770,47,53,54,28
57,21080108837610762,684,71,56,54,28
58,21080108837612842,630,65,56,54,28
