index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,21082133500238046,614,0,52,56,28
1,21082133500240322,689,0,52,56,28
2,21082133500242362,618,0,52,56,28
3,21082133500244548,662,0,52,56,28
4,21082133500246546,605,0,52,56,28
5,21082133500248734,663,0,52,56,28
6,21082133500250770,616,0,52,56,28
7,21082133500252818,620,0,52,56,28
8,21082133500254862,619,0,52,56,28
9,21082133500256944,630,0,52,56,28
10,21082133500258956,609,0,52,56,28
11,21082133500260952,604,0,52,56,28
12,21082133500262986,616,0,52,56,28
13,21082133500265170,661,0,52,56,28
14,21082133500267208,617,0,52,56,28
15,21082133500269256,620,0,52,56,28
16,21082133500271318,624,0,52,56,28
17,21082133500273378,624,0,52,56,28
18,21082133500275406,614,0,52,56,28
19,21082133500277422,610,0,52,56,28
20,21082133500279434,609,0,52,56,28
21,21082133500281620,662,0,52,56,28
22,21082133500283656,616,0,52,56,28
23,21082133500285710,622,0,52,56,28
24,21082133500287812,636,0,52,56,28
25,21082133500289864,621,0,52,56,28
26,21082133500291840,598,0,52,56,28
27,21082133500293854,610,0,52,56,28
28,21082133500295870,610,0,52,56,28
29,21082133500298058,663,0,52,56,28
30,21082133500300138,630,0,52,56,28
31,21082133500302182,619,0,52,56,28
32,21082133500304234,621,0,52,56,28
33,21082133500306276,618,0,52,56,28
34,21082133500308276,606,0,52,56,28
35,21082133500310268,603,0,52,56,28
36,21082133500312252,601,0,52,56,28
37,21082133500314414,655,0,52,56,28
38,21082133500316486,627,0,52,56,28
39,21082133500318532,620,16,51,56,28
40,21082133500320636,637,31,53,56,28
41,21082133500322730,634,54,56,56,28
42,21082133500324766,616,56,56,56,28
43,21082133500326810,619,59,56,56,28
44,21082133500328850,618,51,55,56,28
45,21082133500331110,684,47,55,56,28
46,21082133500333174,625,87,60,56,28
47,21082133500335220,620,66,57,56,28
48,21082133500337300,630,44,54,56,28
49,21082133500339350,621,9,54,56,28
50,21082133500341474,643,0,54,56,28
51,21082133500343520,620,0,54,56,28
52,21082133500345550,615,0,54,56,28
53,21082133500347710,654,0,54,56,28
54,21082133500349752,618,0,54,56,28
55,21082133500351806,622,0,54,56,28
56,21082133500353898,633,0,54,56,28
57,21082133500355916,611,0,54,56,28
58,21082133500357944,614,0,54,56,28
59,21082133500359944,606,0,54,56,28
60,21082133500361954,609,2,54,56,28
61,21082133500364156,667,21,52,56,28
62,21082133500366258,636,10,52,56,28
63,21082133500368334,629,29,52,56,28
64,21082133500370446,640,44,54,56,28
65,21082133500372552,638,59,56,56,28
66,21082133500374586,616,57,56,56,28
67,21082133500376638,621,47,55,56,28
68,21082133500378734,635,50,55,56,28
69,21082133500380914,660,46,54,56,28
70,21082133500383012,635,61,56,56,28
71,21082133500385146,646,77,58,56,28
72,21082133500387210,625,1,58,56,28
73,21082133500389308,635,0,58,56,28
74,21082133500391328,612,31,53,56,28
75,21082133500393610,691,50,55,56,28
76,21082133500395690,630,39,53,56,28
77,21082133500397910,672,41,54,55,28
78,21082133500399964,622,64,56,55,28
79,21082133500402034,627,56,55,55,28
80,21082133500404106,627,78,58,56,28
81,21082133500406168,624,56,56,56,28
82,21082133500408188,612,50,55,56,28
83,21082133500410198,609,37,53,55,28
84,21082133500412214,610,0,53,55,28
85,21082133500414476,685,0,53,55,28
86,21082133500416568,633,0,53,55,28
87,21082133500418660,633,0,53,55,28
88,21082133500420686,613,0,53,55,28
