index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,21076568879657690,626,79,70,69,28
1,21076568879659976,692,60,68,69,28
2,21076568879662012,616,79,70,69,28
3,21076568879664230,672,43,66,69,28
4,21076568879666472,679,72,69,69,28
5,21076568879668510,617,68,69,69,28
6,21076568879670552,618,85,71,69,28
7,21076568879672582,615,26,63,69,28
8,21076568879674616,616,89,71,69,28
9,21076568879676626,609,46,66,69,28
10,21076568879678658,615,76,70,69,28
11,21076568879680666,608,32,64,69,28
12,21076568879682838,658,70,69,69,28
13,21076568879684890,621,70,69,69,28
14,21076568879686964,628,58,67,69,28
15,21076568879689002,617,66,68,69,28
16,21076568879691048,620,86,71,69,28
17,21076568879693064,610,57,67,69,28
18,21076568879695086,612,81,70,69,28
19,21076568879697116,615,41,65,69,28
20,21076568879699304,663,64,68,68,28
21,21076568879701332,614,99,72,69,28
22,21076568879703424,633,68,68,69,28
23,21076568879705464,618,76,69,69,28
24,21076568879707480,610,66,68,69,28
25,21076568879709476,604,82,70,69,28
26,21076568879711492,610,84,71,69,28
27,21076568879713494,606,32,64,69,28
28,21076568879715698,667,58,67,69,28
29,21076568879717726,614,92,71,69,28
30,21076568879719770,619,41,65,69,28
31,21076568879721804,616,67,68,69,28
32,21076568879723882,629,64,68,68,28
33,21076568879725908,613,83,70,69,28
34,21076568879727920,609,63,68,69,28
35,21076568879729922,606,80,70,69,28
36,21076568879732110,663,63,68,69,28
37,21076568879734142,615,80,70,69,28
38,21076568879736170,614,61,68,69,28
39,21076568879738328,653,72,69,69,28
40,21076568879740382,622,77,70,69,28
41,21076568879742428,620,71,69,69,28
42,21076568879744426,605,71,69,69,28
43,21076568879746440,610,93,72,69,28
44,21076568879748624,661,66,68,69,28
45,21076568879750894,687,76,70,69,28
46,21076568879752918,613,81,70,69,28
47,21076568879754948,615,75,69,69,28
48,21076568879756984,616,85,71,69,28
49,21076568879758994,609,88,71,69,28
50,21076568879761002,608,87,71,69,28
51,21076568879763074,627,68,69,69,28
52,21076568879765364,693,68,69,69,28
53,21076568879767414,621,85,71,69,28
54,21076568879769456,618,86,71,69,28
55,21076568879771550,634,76,70,69,28
56,21076568879773576,613,66,69,69,28
57,21076568879775588,609,86,71,69,28
58,21076568879777604,610,84,71,69,28
59,21076568879779602,605,63,68,69,28
60,21076568879781772,657,75,70,69,28
61,21076568879783840,626,70,69,69,28
62,21076568879785876,616,68,69,69,28
63,21076568879787970,634,79,70,69,28
64,21076568879790008,617,77,70,69,28
65,21076568879792016,608,89,72,69,28
66,21076568879794030,610,58,68,69,28
67,21076568879796034,607,83,71,69,28
68,21076568879798206,658,69,69,69,28
69,21076568879800232,613,52,67,69,28
70,21076568879802276,619,90,72,69,28
71,21076568879804314,617,84,71,69,28
72,21076568879806368,622,63,69,69,28
73,21076568879808362,604,89,72,69,28
74,21076568879810362,606,32,65,69,28
75,21076568879813014,803,87,71,69,28
76,21076568879815206,664,50,67,69,28
77,21076568879817236,615,99,73,69,28
78,21076568879819278,618,65,69,69,28
79,21076568879821348,627,82,71,69,28
80,21076568879823394,620,82,71,70,28
81,21076568879825404,609,81,71,70,28
82,21076568879827408,607,40,66,69,28
83,21076568879829422,610,87,72,70,28
84,21076568879831632,669,59,68,69,28
85,21076568879833686,622,52,67,69,28
86,21076568879835806,642,93,72,69,28
87,21076568879837850,619,81,71,70,28
88,21076568879839918,626,70,70,70,28
89,21076568879841926,608,90,72,70,28
90,21076568879843940,610,65,69,70,28
91,21076568879845986,620,81,71,70,28
92,21076568879848198,670,73,70,70,28
93,21076568879850256,623,99,73,70,28
94,21076568879852318,624,62,69,70,28
95,21076568879854414,635,89,72,70,28
96,21076568879856460,620,70,70,70,28
97,21076568879858456,604,88,72,70,28
98,21076568879860472,610,58,68,70,28
99,21076568879862486,610,81,71,70,28
100,21076568879864656,657,32,65,70,28
101,21076568879866690,616,98,73,70,28
102,21076568879868746,623,79,71,70,28
103,21076568879870846,636,64,69,70,28
104,21076568879872910,625,90,72,70,28
105,21076568879874924,610,52,68,70,28
106,21076568879876946,612,90,72,70,28
107,21076568879878946,606,58,68,70,28
108,21076568879881118,658,77,71,70,28
109,21076568879883140,612,93,73,70,28
110,21076568879885170,615,69,70,70,28
111,21076568879887194,613,49,67,70,28
112,21076568879889230,616,89,72,70,28
113,21076568879891234,607,78,71,70,28
114,21076568879893240,607,82,71,70,28
115,21076568879895256,610,46,67,70,28
116,21076568879897444,663,75,70,70,28
117,21076568879899742,696,95,73,70,28
118,21076568879901786,619,54,68,70,28
119,21076568879903816,615,58,68,70,28
120,21076568879905944,644,86,72,70,28
121,21076568879907954,609,51,68,70,28
122,21076568879909956,606,79,71,70,28
123,21076568879911968,609,67,70,70,28
124,21076568879914148,660,78,71,70,28
125,21076568879916190,618,49,67,70,28
126,21076568879918222,615,62,69,70,28
127,21076568879920264,618,63,69,70,28
128,21076568879922344,630,63,69,70,28
129,21076568879924362,611,84,72,70,28
130,21076568879926378,610,67,69,70,28
131,21076568879928398,612,78,71,70,28
132,21076568879930572,658,31,65,70,28
133,21076568879932604,615,92,72,70,28
134,21076568879934650,620,36,66,70,28
135,21076568879936694,619,86,72,70,28
136,21076568879938778,631,59,68,70,28
137,21076568879940806,614,83,71,70,28
138,21076568879942800,604,76,70,70,28
139,21076568879944814,610,87,72,70,28
140,21076568879947008,664,56,68,70,28
141,21076568879949038,615,91,72,70,28
142,21076568879951066,614,59,68,70,28
143,21076568879953098,615,59,68,70,28
144,21076568879955126,614,74,70,70,28
145,21076568879957128,606,78,71,70,28
146,21076568879959134,607,78,71,70,28
147,21076568879961132,605,77,71,70,28
148,21076568879963324,664,38,66,70,28
149,21076568879965362,617,73,70,70,28
150,21076568879967394,615,48,67,70,28
151,21076568879969468,628,68,69,70,28
152,21076568879971494,613,50,67,70,28
153,21076568879973508,610,70,70,70,28
154,21076568879975544,616,70,70,70,28
155,21076568879977566,612,74,70,70,28
156,21076568879979752,662,72,70,70,28
157,21076568879981876,643,66,69,70,28
158,21076568879983914,617,65,69,70,28
159,21076568879985958,619,66,69,70,28
160,21076568879988416,744,49,67,69,28
161,21076568879990442,613,75,70,69,28
162,21076568879992458,610,67,69,69,28
163,21076568879994468,609,76,70,69,28
164,21076568879996672,667,34,65,69,28
165,21076568879998700,614,99,73,69,28
166,21076568880000752,621,81,71,69,28
167,21076568880002784,615,33,65,69,28
168,21076568880004874,633,77,70,69,28
169,21076568880006898,613,89,72,69,28
170,21076568880008902,607,34,65,69,28
171,21076568880010916,610,53,67,69,28
172,21076568880013108,664,63,68,69,28
173,21076568880015152,619,70,69,69,28
174,21076568880017214,624,69,69,69,28
175,21076568880019300,632,63,68,69,28
176,21076568880021346,620,56,67,69,28
177,21076568880023356,609,34,65,69,28
178,21076568880025384,614,62,68,69,28
179,21076568880027382,605,46,66,69,28
180,21076568880029624,679,49,66,69,28
181,21076568880032222,787,79,70,69,28
182,21076568880034260,617,63,68,69,28
183,21076568880036290,615,66,68,69,28
184,21076568880038328,617,79,70,69,28
185,21076568880040340,609,56,67,69,28
186,21076568880042352,609,67,69,69,28
187,21076568880044384,615,68,69,69,28
188,21076568880046588,667,64,68,69,28
189,21076568880048652,625,72,69,69,28
190,21076568880050704,621,86,71,69,28
191,21076568880052746,618,45,66,69,28
192,21076568880054780,616,91,71,69,28
193,21076568880056782,606,50,66,69,28
194,21076568880058794,609,85,71,69,28
195,21076568880060812,611,81,70,69,28
196,21076568880063006,664,56,67,69,28
197,21076568880065100,634,73,69,69,28
198,21076568880067132,615,43,66,69,28
199,21076568880069166,616,80,70,69,28
200,21076568880071192,613,66,68,69,28
201,21076568880073188,604,52,67,69,28
202,21076568880075202,610,66,68,69,28
203,21076568880077208,607,88,71,69,28
204,21076568880079398,663,55,67,69,28
205,21076568880081436,617,89,71,69,28
206,21076568880083464,614,54,67,69,28
207,21076568880085502,617,61,68,69,28
208,21076568880087576,628,52,67,69,28
