Linux 6.0.3 (genie03) 	09/05/2023 	_x86_64_	(64 CPU)

08:44:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:44:45 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
08:44:46 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
08:44:47 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
08:44:48 PM       4      0.98      0.00     98.04      0.00      0.00      0.98
08:44:49 PM       4      0.99      0.00     99.01      0.00      0.00      0.00
08:44:50 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
08:44:51 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
08:44:52 PM       4      3.00      0.00     97.00      0.00      0.00      0.00
08:44:53 PM       4      1.01      0.00     98.99      0.00      0.00      0.00
08:44:54 PM       4      0.99      0.00     99.01      0.00      0.00      0.00
08:44:55 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
08:44:56 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
08:44:57 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
08:44:58 PM       4      0.00      0.00    100.00      0.00      0.00      0.00
08:44:59 PM       4      1.00      0.00     99.00      0.00      0.00      0.00
