index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,21091402076573548,613,66,167,180,28
1,21091402076575560,609,69,166,180,28
2,21091402076577598,617,60,165,180,28
3,21091402076579610,609,50,163,179,28
4,21091402076581682,627,42,162,179,28
5,21091402076583930,681,81,166,178,28
6,21091402076585986,623,35,160,178,28
7,21091402076588036,621,59,163,177,28
8,21091402076590134,635,57,162,177,28
9,21091402076592170,616,67,163,176,28
10,21091402076594180,609,51,161,176,28
11,21091402076596180,606,70,162,175,28
12,21091402076598200,612,72,162,175,28
13,21091402076600424,673,33,157,174,28
14,21091402076602532,638,56,159,174,28
15,21091402076604598,626,61,160,173,28
16,21091402076606644,620,71,161,173,28
17,21091402076608652,608,58,159,173,28
18,21091402076610668,610,52,157,172,28
19,21091402076612684,610,55,157,172,28
20,21091402076614694,609,50,156,171,28
21,21091402076616968,689,55,157,171,28
22,21091402076619018,621,69,158,170,28
23,21091402076621062,619,48,155,170,28
24,21091402076623116,622,49,155,169,28
25,21091402076625170,622,36,153,169,28
26,21091402076627216,620,49,154,168,28
27,21091402076629262,620,80,157,168,28
28,21091402076631272,609,59,154,168,28
29,21091402076633500,675,48,153,167,28
30,21091402076635592,633,68,155,167,28
31,21091402076637644,621,42,151,166,28
32,21091402076639686,618,42,151,166,28
33,21091402076641682,604,61,153,165,28
34,21091402076643718,616,55,152,165,28
35,21091402076645730,609,62,152,165,28
36,21091402076647736,607,66,152,164,28
37,21091402076649960,673,60,151,164,28
38,21091402076652052,633,64,151,163,28
39,21091402076654108,623,65,151,163,28
40,21091402076656166,623,45,148,162,28
41,21091402076658170,607,49,148,162,28
42,21091402076660174,607,54,148,162,28
43,21091402076662196,612,62,149,161,28
44,21091402076664204,608,59,148,161,28
45,21091402076666506,697,66,149,160,28
46,21091402076668546,618,57,147,160,28
47,21091402076670628,630,47,146,160,28
48,21091402076672672,619,58,147,159,28
49,21091402076674682,609,52,146,159,28
50,21091402076676696,610,52,145,158,28
51,21091402076678706,609,80,149,158,28
52,21091402076680716,609,37,143,158,28
53,21091402076682932,671,50,144,157,28
54,21091402076684980,620,74,147,157,28
55,21091402076687024,619,47,143,156,28
56,21091402076689104,630,47,143,156,28
57,21091402076691122,611,72,145,156,28
58,21091402076693134,609,68,145,155,28
59,21091402076695148,610,55,143,155,28
60,21091402076697158,609,53,142,155,28
61,21091402076699402,680,83,146,154,28
62,21091402076701450,620,34,139,154,28
63,21091402076703528,629,48,140,153,28
64,21091402076705618,633,57,141,153,28
65,21091402076707616,605,58,141,153,28
66,21091402076709612,604,50,140,152,28
67,21091402076711612,606,49,139,152,28
68,21091402076713618,607,62,140,151,28
69,21091402076715840,673,51,139,151,28
70,21091402077062608,105081,0,139,151,28
71,21091402077064970,715,9734,1349,188,28
72,21091402077067214,680,28,168,188,28
73,21091402077069496,691,72,173,187,28
74,21091402077071504,608,86,175,187,28
75,21091402077074348,861,62,171,186,28
76,21091402077076384,616,76,173,186,28
77,21091402077078386,606,57,170,186,28
78,21091402077080394,608,59,170,185,28
79,21091402077082516,643,53,168,185,28
80,21091402077084584,626,47,167,184,28
81,21091402077086858,689,84,171,184,28
82,21091402077088924,626,67,169,183,28
83,21091402077090980,623,68,169,183,28
84,21091402077093042,624,55,167,182,28
85,21091402077095054,609,71,168,182,28
86,21091402077097120,626,75,168,181,28
87,21091402077099146,613,76,168,181,28
88,21091402077101140,604,61,166,180,28
89,21091402077103424,692,92,169,180,28
90,21091402077105484,624,63,165,180,28
91,21091402077107526,618,53,164,179,28
92,21091402077109586,624,75,166,179,28
93,21091402077111596,609,54,163,178,28
94,21091402077113706,639,82,166,178,28
95,21091402077115754,620,76,165,177,28
96,21091402077117780,613,75,165,177,28
97,21091402077120072,694,75,164,177,28
98,21091402077122190,641,64,163,176,28
99,21091402077124262,627,67,163,176,28
100,21091402077126316,622,81,164,175,28
101,21091402077128322,607,67,162,175,28
102,21091402077130340,611,81,163,175,28
103,21091402077132358,611,81,163,174,28
104,21091402077134364,607,47,158,174,28
105,21091402077136606,679,89,163,173,28
106,21091402077138672,626,74,161,173,28
107,21091402077140710,617,49,157,173,28
108,21091402077142790,630,69,160,172,28
109,21091402077144808,611,79,160,172,28
110,21091402077146818,609,92,162,171,28
111,21091402077148852,616,37,155,171,28
112,21091402077150864,609,73,159,171,28
113,21091402077153108,680,68,158,170,28
114,21091402077155320,670,75,158,170,28
115,21091402077157376,623,58,156,169,28
116,21091402077159476,636,83,158,169,28
117,21091402077161510,616,75,157,169,28
118,21091402077163514,607,57,155,168,28
119,21091402077165508,604,42,152,168,28
120,21091402077167540,615,92,158,167,28
121,21091402077169788,681,64,154,167,28
122,21091402077171896,638,82,156,167,28
