index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,21083748621911862,609,64,65,65,28
1,21083748621914192,706,61,64,65,28
2,21083748621916210,611,76,66,65,28
3,21083748621918456,680,80,67,65,28
4,21083748621920894,738,83,67,65,28
5,21083748621922954,624,73,66,65,28
6,21083748621924994,618,55,64,65,28
7,21083748621927034,618,61,65,65,28
8,21083748621929036,606,73,66,65,28
9,21083748621931040,607,70,66,65,28
10,21083748621933056,610,73,66,65,28
11,21083748621935086,615,54,64,65,28
12,21083748621937336,681,63,65,65,28
13,21083748621939364,614,52,63,65,28
14,21083748621941408,619,69,66,65,28
15,21083748621943456,620,62,65,65,28
16,21083748621945468,609,66,65,65,28
17,21083748621947524,623,38,62,65,28
18,21083748621949600,629,53,63,65,28
19,21083748621951650,621,75,66,65,28
20,21083748621953860,669,71,66,65,28
21,21083748621955940,630,70,66,65,28
22,21083748621957996,623,60,64,65,28
23,21083748621960038,618,90,68,65,28
24,21083748621962046,608,47,63,65,28
25,21083748621964060,610,49,63,65,28
26,21083748621966068,608,52,63,65,28
27,21083748621968070,606,74,66,65,28
28,21083748621970286,671,36,61,65,28
29,21083748621972330,619,69,65,65,28
30,21083748621974416,632,65,65,65,28
31,21083748621976452,616,80,67,65,28
32,21083748621978452,606,52,63,65,28
33,21083748621980462,609,69,65,65,28
34,21083748621982480,611,76,66,65,28
35,21083748621984490,609,76,66,65,28
36,21083748621986748,684,92,68,65,28
37,21083748621988864,641,70,66,65,28
38,21083748621990906,618,72,66,65,28
39,21083748621992934,614,82,67,65,28
40,21083748621995724,845,35,61,65,28
41,21083748621997782,623,59,64,65,28
42,21083748621999794,609,90,68,65,28
43,21083748622001814,612,78,67,65,28
44,21083748622005088,992,40,62,65,28
45,21083748622007130,618,69,65,65,28
46,21083748622009174,619,93,68,65,28
47,21083748622011220,620,72,66,65,28
48,21083748622013240,612,45,63,65,28
49,21083748622015272,615,84,67,65,28
50,21083748622017272,606,71,66,65,28
51,21083748622019310,617,67,65,65,28
52,21083748622021546,677,49,63,65,28
53,21083748622023594,620,86,68,65,28
54,21083748622025624,615,33,61,65,28
55,21083748622027648,613,46,63,65,28
56,21083748622029694,620,76,66,65,28
57,21083748622031710,610,64,65,65,28
58,21083748622033730,612,63,65,65,28
59,21083748622035786,623,57,64,65,28
60,21083748622038004,672,85,67,65,28
61,21083748622040054,621,71,66,65,28
62,21083748622042108,622,56,64,65,28
63,21083748622044200,633,60,64,65,28
64,21083748622046234,616,76,66,65,28
65,21083748622048252,611,87,68,65,28
66,21083748622050304,621,39,62,65,28
67,21083748622052316,609,50,63,65,28
68,21083748622054928,791,91,68,65,28
69,21083748622056964,616,45,63,65,28
70,21083748622059002,617,65,65,65,28
71,21083748622061048,620,83,67,65,28
72,21083748622063060,609,70,66,65,28
73,21083748622065090,615,69,66,65,28
74,21083748622067154,625,61,65,65,28
75,21083748622069556,727,93,69,65,28
76,21083748622071776,672,81,67,65,28
77,21083748622073810,616,45,63,65,28
78,21083748622075894,631,86,68,65,28
79,21083748622077930,616,82,67,65,28
80,21083748622079938,608,86,68,65,28
81,21083748622081952,610,58,64,65,28
82,21083748622083988,616,83,68,65,28
83,21083748622086006,611,64,65,65,28
84,21083748622088216,669,59,65,65,28
85,21083748622090256,618,80,67,65,28
86,21083748622092334,629,65,65,65,28
87,21083748622094378,619,63,65,65,28
88,21083748622096438,624,73,66,65,28
89,21083748622098436,605,77,67,66,28
90,21083748622100432,604,59,65,66,28
91,21083748622102456,613,44,63,65,28
92,21083748622104726,687,86,68,65,28
93,21083748622106766,618,42,62,65,28
94,21083748622108812,620,78,67,65,28
95,21083748622110844,615,72,66,65,28
96,21083748622112850,607,78,67,66,28
97,21083748622114870,612,70,66,66,28
98,21083748622116886,610,61,65,66,28
99,21083748622118914,614,87,68,66,28
100,21083748622121138,673,61,65,66,28
101,21083748622123208,627,90,69,66,28
102,21083748622125238,615,58,65,66,28
103,21083748622127346,638,57,64,66,28
104,21083748622129414,626,82,68,66,28
105,21083748622131434,612,61,65,66,28
106,21083748622133456,612,72,66,66,28
107,21083748622135478,612,90,69,66,28
108,21083748622137776,696,64,65,66,28
109,21083748622139880,637,78,67,66,28
110,21083748622141924,619,81,68,66,28
111,21083748622143996,627,89,69,66,28
112,21083748622146010,610,79,68,66,28
113,21083748622148038,614,88,69,66,28
114,21083748622150048,609,83,68,66,28
115,21083748622152066,611,63,66,66,28
116,21083748622154290,673,87,69,66,28
117,21083748622156336,620,63,66,66,28
118,21083748622158410,628,43,63,66,28
119,21083748622160452,618,87,69,66,28
120,21083748622162506,622,38,63,66,28
121,21083748622164516,609,91,69,66,28
122,21083748622166558,618,80,68,66,28
123,21083748622168592,616,77,68,66,28
124,21083748622171102,760,78,68,66,28
125,21083748622173168,626,79,68,66,28
126,21083748622175210,618,87,69,66,28
127,21083748622177240,615,86,69,66,28
128,21083748622179266,613,34,62,66,28
129,21083748622181284,611,83,68,66,28
130,21083748622183300,610,83,68,66,28
131,21083748622185312,609,77,68,67,28
132,21083748622187540,675,64,66,67,28
133,21083748622189616,629,67,67,67,28
134,21083748622191644,614,67,67,67,28
135,21083748622193694,621,73,67,67,28
136,21083748622195702,608,81,68,67,28
137,21083748622197716,610,86,69,67,28
138,21083748622199724,608,79,68,67,28
139,21083748622201742,611,50,65,67,28
