index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,21087869410161574,616,71,66,66,28
1,21087869410164108,767,70,66,66,28
2,21087869410166210,636,78,67,66,28
3,21087869410168896,813,71,66,66,28
4,21087869410170958,624,64,65,66,28
5,21087869410173008,621,63,65,66,28
6,21087869410175030,612,50,64,66,28
7,21087869410177048,611,50,64,66,28
8,21087869410179066,611,69,66,66,28
9,21087869410181298,676,49,63,65,28
10,21087869410183380,630,75,67,66,28
11,21087869410185434,622,77,67,66,28
12,21087869410187518,631,54,64,66,28
13,21087869410189606,632,62,65,66,28
14,21087869410191684,629,91,69,66,28
15,21087869410193730,620,75,67,66,28
16,21087869410195780,621,61,65,66,28
17,21087869410197962,661,54,64,66,28
18,21087869410200034,627,57,64,66,28
19,21087869410202108,628,48,63,65,28
20,21087869410204190,630,67,66,65,28
21,21087869410206254,625,65,65,65,28
22,21087869410208318,625,61,65,65,28
23,21087869410210340,612,61,65,65,28
24,21087869410212350,609,51,64,65,28
25,21087869410214522,658,46,63,65,28
26,21087869410216724,667,67,65,65,28
27,21087869410218778,622,53,64,65,28
28,21087869410220834,623,65,65,65,28
29,21087869410222954,642,52,64,65,28
30,21087869410224950,604,50,63,65,28
31,21087869410227022,627,69,66,65,28
32,21087869410229036,610,70,66,65,28
33,21087869410231252,671,50,63,65,28
34,21087869410233318,626,68,65,65,28
35,21087869410235376,623,53,64,65,28
36,21087869410237436,624,73,66,65,28
37,21087869410239510,628,47,63,65,28
38,21087869410241532,612,72,66,65,28
39,21087869410243554,612,92,68,65,28
40,21087869410245574,612,80,67,65,28
41,21087869410247760,662,77,67,65,28
42,21087869410249826,626,78,67,65,28
43,21087869410251938,640,74,66,65,28
44,21087869410254032,634,70,66,65,28
45,21087869410256106,628,76,67,65,28
46,21087869410258142,616,74,66,65,28
47,21087869410260168,613,53,64,65,28
48,21087869410262176,608,87,68,65,28
49,21087869410264374,666,74,66,65,28
50,21087869410266424,621,64,65,65,28
51,21087869410268544,642,37,62,65,28
52,21087869410270748,667,89,68,65,28
53,21087869410272800,621,53,64,65,28
54,21087869410274804,607,65,65,65,28
55,21087869410276822,611,76,67,65,28
56,21087869410278834,609,21,60,65,28
57,21087869410281040,668,72,66,65,28
58,21087869410283144,637,69,66,65,28
59,21087869410285198,622,77,67,65,28
60,21087869410287332,646,46,63,65,28
61,21087869410289378,620,70,66,65,28
62,21087869410291406,614,79,67,65,28
63,21087869410293416,609,56,64,65,28
64,21087869410295440,613,89,68,65,28
65,21087869410297628,663,63,65,65,28
66,21087869410299678,621,69,66,65,28
67,21087869410301766,632,81,67,65,28
68,21087869410303822,623,83,68,66,28
69,21087869410305944,643,49,63,65,28
70,21087869410307972,614,69,66,65,28
71,21087869410310022,621,91,69,66,28
72,21087869410312030,608,56,64,66,28
73,21087869410314236,668,59,65,65,28
74,21087869410316354,641,94,69,66,28
75,21087869410318700,710,55,64,66,28
76,21087869410320880,660,79,67,66,28
