index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,21077074225898798,610,64,66,67,28
1,21077074225901142,710,83,69,67,28
2,21077074225903162,612,85,69,67,28
3,21077074225905596,737,60,66,67,28
4,21077074225907642,620,42,64,67,28
5,21077074225909686,619,44,64,67,28
6,21077074225911780,634,86,69,67,28
7,21077074225913826,620,78,68,67,28
8,21077074225915838,609,84,69,67,28
9,21077074225917840,606,84,69,67,28
10,21077074225919854,610,72,68,67,28
11,21077074225922094,678,66,67,67,28
12,21077074225924150,623,96,71,67,28
13,21077074225926224,628,49,65,67,28
14,21077074225928272,620,73,68,67,28
15,21077074225930344,627,77,68,67,28
16,21077074225932344,606,81,69,67,28
17,21077074225934344,606,63,67,67,28
18,21077074225936356,609,85,69,67,28
19,21077074225938542,662,41,64,67,28
20,21077074225940644,636,42,64,67,28
21,21077074225942670,613,0,64,67,28
22,21077074225945686,913,7,64,67,28
23,21077074225947756,627,57,66,67,28
24,21077074225949784,614,36,63,67,28
25,21077074225951814,615,48,64,67,28
26,21077074225953838,613,59,66,67,28
27,21077074225956086,681,68,67,67,28
28,21077074225958144,623,62,66,67,28
29,21077074225960212,626,68,67,67,28
30,21077074225962268,623,51,65,67,28
31,21077074225964316,620,40,63,67,28
32,21077074225966312,604,59,66,67,28
33,21077074225968310,605,93,70,67,28
34,21077074225970346,616,52,65,67,28
35,21077074225972528,661,74,67,67,28
36,21077074225974588,624,54,65,67,28
37,21077074225976642,622,75,68,67,28
38,21077074225978724,630,52,65,67,28
39,21077074225980770,620,82,68,67,28
40,21077074225982776,607,63,66,67,28
41,21077074225984776,606,70,67,67,28
42,21077074225986774,605,66,66,67,28
43,21077074225988950,659,39,63,66,28
44,21077074225991000,621,56,65,66,28
45,21077074225993146,650,54,65,66,28
46,21077074225995216,627,52,65,66,28
47,21077074225997268,621,50,64,66,28
48,21077074225999280,609,73,67,66,28
49,21077074226001286,607,66,66,66,28
50,21077074226003304,611,49,64,66,28
51,21077074226005480,659,46,64,66,28
52,21077074226007566,632,56,65,66,28
53,21077074226009628,624,72,67,66,28
54,21077074226011672,619,62,66,66,28
55,21077074226013718,620,49,64,66,28
56,21077074226015718,606,63,66,66,28
57,21077074226017728,609,80,68,66,28
58,21077074226019744,610,54,64,66,28
59,21077074226021922,660,45,63,66,28
60,21077074226024018,635,57,65,66,28
61,21077074226026090,627,68,66,66,28
62,21077074226028210,642,52,64,66,28
63,21077074226030276,626,56,65,66,28
64,21077074226032286,609,53,64,66,28
65,21077074226034346,624,62,65,66,28
66,21077074226036360,610,64,65,66,28
67,21077074226038546,662,69,66,66,28
68,21077074226040618,627,60,65,66,28
69,21077074226042686,626,72,66,66,28
70,21077074226044742,623,57,65,66,28
71,21077074226046868,644,58,65,66,28
72,21077074226048896,614,49,64,66,28
73,21077074226050898,606,49,63,66,28
74,21077074226052904,607,69,66,66,28
75,21077074226055440,768,58,65,66,28
76,21077074226057560,642,47,63,65,28
77,21077074226059640,630,55,64,65,28
78,21077074226061704,625,50,63,65,28
79,21077074226063768,625,54,64,65,28
80,21077074226065780,609,62,65,65,28
81,21077074226067810,615,77,67,65,28
82,21077074226069818,608,73,66,65,28
83,21077074226072010,664,53,64,65,28
84,21077074226074094,631,51,63,65,28
85,21077074226076184,633,66,65,65,28
86,21077074226078234,621,58,64,65,28
87,21077074226080294,624,58,64,65,28
88,21077074226082306,609,44,62,65,28
89,21077074226084304,605,1,62,65,28
90,21077074226086350,620,0,62,65,28
91,21077074226088604,683,0,62,65,28
92,21077074226091648,922,0,62,65,28
93,21077074226093694,620,0,62,65,28
94,21077074226095734,618,0,62,65,28
