index,latest_tsc,time_delta_ns,avg_occ,s_avg_occ,s_avg_occ_long,cpu
0,21078587537923498,630,64,59,59,28
1,21078587537925750,682,60,59,59,28
2,21078587537927774,613,54,58,59,28
3,21078587537931102,1008,1,58,59,28
4,21078587537933308,668,0,58,59,28
5,21078587537935412,637,0,58,59,28
6,21078587537937444,615,0,58,59,28
7,21078587537939490,620,0,58,59,28
8,21078587537941530,618,0,58,59,28
9,21078587537943510,600,0,58,59,28
10,21078587537945480,596,0,58,59,28
11,21078587537947496,610,29,55,58,28
12,21078587537949734,678,48,57,58,28
13,21078587537951914,660,61,59,58,28
14,21078587537954038,643,56,58,58,28
15,21078587537956090,621,61,59,58,28
16,21078587537958122,615,54,58,58,28
17,21078587537960130,608,50,57,58,28
18,21078587537962146,610,18,53,58,28
19,21078587537964156,609,33,55,58,28
20,21078587537966372,671,44,56,58,28
21,21078587537968466,634,61,58,58,28
22,21078587537970568,636,81,61,58,28
23,21078587537972656,632,55,58,58,28
24,21078587537974734,629,43,56,58,28
25,21078587537976728,604,53,57,58,28
26,21078587537978744,610,57,58,58,28
27,21078587537980754,609,50,57,58,28
28,21078587537982976,673,53,57,58,28
29,21078587537985100,643,56,58,58,28
30,21078587537987174,628,50,57,58,28
31,21078587537989266,633,67,59,58,28
32,21078587537991324,623,48,57,58,28
33,21078587537993324,606,49,57,58,28
34,21078587537995338,610,74,60,58,28
35,21078587537997340,606,79,60,58,28
36,21078587537999524,661,36,55,58,28
37,21078587538001594,627,63,58,58,28
38,21078587538003686,633,80,61,58,28
39,21078587538005738,621,40,56,58,28
40,21078587538007782,619,64,59,58,28
41,21078587538009784,606,56,58,58,28
42,21078587538011794,609,50,57,58,28
43,21078587538013798,607,48,57,58,28
44,21078587538015978,660,53,57,58,28
45,21078587538018026,620,63,58,58,28
46,21078587538020122,635,85,61,58,28
47,21078587538022166,619,77,60,58,28
48,21078587538024226,624,32,55,58,28
49,21078587538026228,606,73,60,58,28
50,21078587538028226,605,85,61,58,28
51,21078587538030236,609,37,55,58,28
52,21078587538032418,661,49,57,58,28
53,21078587538034458,618,57,58,58,28
54,21078587538036576,641,54,57,58,28
55,21078587538038624,620,61,58,58,28
56,21078587538040672,620,64,59,58,28
57,21078587538042694,612,58,58,58,28
58,21078587538044702,608,54,57,58,28
59,21078587538046710,608,57,58,58,28
60,21078587538048892,661,82,61,58,28
61,21078587538050998,638,49,57,58,28
62,21078587538053060,624,53,57,58,28
63,21078587538055104,619,50,57,58,28
64,21078587538057200,635,50,57,58,28
65,21078587538059226,613,52,57,58,28
66,21078587538061248,612,68,59,58,28
67,21078587538063260,609,74,60,58,28
68,21078587538065448,663,55,58,58,28
69,21078587538067546,635,36,55,58,28
70,21078587538069626,630,64,59,58,28
71,21078587538071722,635,88,62,58,28
72,21078587538073806,631,63,59,58,28
73,21078587538075820,610,47,57,58,28
74,21078587538077858,617,50,57,58,28
75,21078587538080106,681,58,58,58,28
76,21078587538082304,666,61,58,58,28
77,21078587538084376,627,50,57,58,28
78,21078587538086438,624,56,58,58,28
79,21078587538088492,622,68,59,58,28
80,21078587538090562,627,45,56,58,28
81,21078587538092604,618,62,58,58,28
82,21078587538094628,613,66,59,58,28
83,21078587538096630,606,50,57,58,28
84,21078587538098810,660,45,56,58,28
85,21078587538100872,624,57,58,58,28
86,21078587538102922,621,54,57,58,28
87,21078587538105048,644,63,58,58,28
88,21078587538107098,621,58,58,58,28
89,21078587538109104,607,49,57,58,28
90,21078587538111120,610,49,57,58,28
91,21078587538113148,614,68,59,58,28
92,21078587538115360,670,61,58,58,28
93,21078587538117420,624,38,55,58,28
94,21078587538119466,620,61,58,58,28
95,21078587538121516,621,72,60,58,28
96,21078587538123634,641,48,57,58,28
97,21078587538125648,610,60,58,58,28
98,21078587538127656,608,66,59,58,28
99,21078587538129698,618,41,56,58,28
100,21078587538131874,659,55,57,58,28
101,21078587538133928,622,70,59,58,28
102,21078587538136042,640,64,59,58,28
103,21078587538138108,626,61,58,58,28
104,21078587538140180,627,50,57,58,28
105,21078587538142170,603,59,58,58,28
106,21078587538144172,606,67,59,58,28
107,21078587538146186,610,77,60,58,28
108,21078587538148376,663,52,57,58,28
109,21078587538150468,633,90,62,58,28
110,21078587538152504,616,65,59,58,28
111,21078587538154558,622,42,56,58,28
112,21078587538156598,618,75,60,58,28
113,21078587538158610,609,60,58,58,28
114,21078587538160640,615,82,61,58,28
115,21078587538162642,606,63,59,58,28
116,21078587538164824,661,83,61,58,28
117,21078587538166920,635,94,63,58,28
118,21078587538168966,620,69,60,58,28
119,21078587538171012,620,39,56,58,28
120,21078587538173124,640,71,60,58,28
121,21078587538175152,614,56,58,58,28
122,21078587538177168,610,84,62,58,28
123,21078587538179184,610,49,57,58,28
124,21078587538181366,661,62,59,58,28
125,21078587538183438,627,83,61,59,28
126,21078587538185536,635,66,59,59,28
127,21078587538187592,623,72,60,59,28
128,21078587538189642,621,72,60,59,28
129,21078587538191642,606,67,60,59,28
130,21078587538193642,606,89,62,59,28
131,21078587538195648,607,47,57,59,28
132,21078587538197826,660,70,60,59,28
133,21078587538199932,638,66,60,59,28
134,21078587538202008,629,78,61,59,28
135,21078587538204048,618,56,58,59,28
136,21078587538206096,620,60,59,59,28
137,21078587538208112,610,82,62,59,28
138,21078587538210122,609,81,62,59,28
139,21078587538212120,605,86,62,59,28
140,21078587538214310,663,65,60,59,28
141,21078587538216376,626,91,63,59,28
142,21078587538218424,620,80,62,59,28
143,21078587538220492,626,76,61,59,28
144,21078587538222530,617,75,61,60,28
145,21078587538224528,605,37,57,59,28
146,21078587538226540,609,67,60,59,28
147,21078587538228566,613,90,63,60,28
148,21078587538230760,664,75,61,60,28
149,21078587538232892,646,74,61,60,28
150,21078587538234996,637,53,59,60,28
